"","orig.ident","nCount_RNA","nFeature_RNA","percent_mt","percent_ERCC","S.Score","G2M.Score","Phase","old.ident"
"CAVIHV","XRA",378211,884,6.36232156124491,0,-0.0422561294797917,-0.0406163966146136,"G1","XRA"
"CHDRZF","XRA",1666558,1797,9.2256015092184,0,0.00241855549856206,-0.0578012330661993,"S","XRA"
"UJQXCS","XRA",2624713,2572,10.6941978037218,0,-0.0197213874800686,-0.0170079042723044,"G1","XRA"
"SGHOIZ","XRA",783232,2059,7.57732064062755,0,0.0160521926622101,-0.0730559856454308,"S","XRA"
"YMMFRO","XRA",1811024,1915,9.50434671213634,0,0.0049004403710713,-0.0295869773635736,"S","XRA"
"ODRXOO","XRA",623332,1350,8.63616820570739,0,-0.0492159169738638,-0.063923137693831,"G1","XRA"
"NRPCEZ","XRA",310819,1219,13.9087378828193,0,0.0199915116755805,-0.00811463105621699,"S","XRA"
"WRFACT","XRA",435176,1270,8.32192032648859,0,-0.0488905512456169,-0.0633592713895379,"G1","XRA"
"AUKUAJ","XRA",505320,1376,10.5370854112246,0,-0.0520368746803848,-0.0681672131276302,"G1","XRA"
"FJLCPC","XRA",2712257,2983,8.60751765042914,0.0424369814512415,0.0966470767340192,-0.0475208309995813,"S","XRA"
"UZLHQT","XRA",2334508,2284,7.15165679449374,4.28355782032017e-05,-0.0244766118280688,-0.0600889010133394,"G1","XRA"
"DNYLKJ","XRA",2272629,2409,2.69005631803519,0,-0.0178938448185887,-0.0863432545086243,"G1","XRA"
"DRMFSI","XRA",1955368,1928,13.7214069167543,0,-0.0453222845887685,-0.0716947645335748,"G1","XRA"
"NPTBQE","XRA",3312726,2577,6.93516457443205,0,-0.0747921652027432,-0.0859101932194938,"G1","XRA"
"BVLBIJ","XRA",2286370,1738,5.06457834908611,4.37374528182228e-05,-0.0596462166164631,-0.0727584815870448,"G1","XRA"
"GFHHXT","XRA",777981,1780,6.11724450854198,0.0110542545383499,0.0759384656929344,0.0467885291347945,"S","XRA"
"CTKFAA","XRA",2986451,1944,1.70610534041911,0,-0.0213383580296224,0.0310957258603151,"G2M","XRA"
"XLUFIN","XRA",2359701,2175,11.6349910433568,0.00300885578299963,0.00399339801445778,-0.0029525304988722,"S","XRA"
"HYAWLQ","XRA",165831,827,11.6564454173225,0,-0.0250131798674902,0.0196249131273033,"G2M","XRA"
"UHDXKT","XRA",1178545,1602,7.22730146069942,0,-0.0575019399097456,-0.0611659836241718,"G1","XRA"
"CIOILK","XRA",2875384,2425,10.5484693522674,0,0.0249201464422727,-0.0461708376275874,"S","XRA"
"MLGQGV","XRA",126422,1018,7.01855689674266,0,-0.0557485614710123,0.00489980341815877,"G2M","XRA"
"VPOBLQ","XRA",2883456,2659,8.98061215430372,6.93612109912549e-05,-0.096856067016741,-0.0656846881492124,"G1","XRA"
"IUCJIS","XRA",1523600,2087,13.6894197952218,0.00938566552901024,0.00901281629854155,-0.0963408585221479,"S","XRA"
"JKIYRX","XRA",2532840,2486,10.2763696088186,0,0.0173782073848174,-0.0785042494197685,"S","XRA"
"YTVUXV","XRA",608197,1885,11.0768385901279,0.0103584858195618,-0.0702045543682424,0.0138738441116758,"G2M","XRA"
"JWUEEY","XRA",804199,1690,5.2194792582433,0,0.0031221933256813,-0.0630627190845907,"S","XRA"
"AJJPNI","XRA",2611100,2899,11.208877484585,0,-0.0824315736535061,-0.0624125035725925,"G1","XRA"
"AUTAVW","XRA",4354766,2796,7.48634943875285,0,-0.0821501997792945,-0.068557972294605,"G1","XRA"
"XPBTXS","XRA",831140,1600,5.86098611545588,0,-0.0415725093238285,-0.0585948386803246,"G1","XRA"
"POJOXH","XRA",4144159,2719,6.01557517460117,0.000217173134525003,-0.0432308423836927,0.0535681579386463,"G2M","XRA"
"SDQUGW","XRA",2874000,2166,11.3101948503827,0,0.0661045709866217,-0.0406925916203203,"S","XRA"
"MIZTMG","XRA",105820,759,6.27008127008127,0,0.0602462857427908,-0.0444743133230719,"S","XRA"
"JHTLRG","XRA",1123734,2438,6.13828539494222,0.0436936143250983,-0.0920749222791151,-0.00526519213944532,"G1","XRA"
"OBRNKF","XRA",1923001,2343,9.50155512139619,0.0170566733974657,-0.0738755866706577,0.0097352611044506,"G2M","XRA"
"BINJZB","XRA",4190472,2704,6.89530916803644,0,-0.0355660465824199,-0.088995151786345,"G1","XRA"
"KXCINB","XRA",3730844,2977,9.38406966359355,0.005762771104876,-0.0324452874425607,-0.0535539096633176,"G1","XRA"
"IMEJEQ","XRA",721755,1785,9.22182735138655,0,-0.0616519284755965,0.0134466385072783,"G2M","XRA"
"TFHWFW","XRA",1540410,1967,7.08733389162626,0,-0.0565531835706066,-0.0421405380555182,"G1","XRA"
"YHVDTL","XRA",2196260,2326,5.29900831413403,0,-0.0223533290437411,-0.050801853116984,"G1","XRA"
"YQEKZD","XRA",4366744,2676,11.6287787880398,0,-0.00623404761633495,-0.0761428102286001,"G1","XRA"
"NQLGBL","XRA",223110,1166,7.72130339294518,0,-0.051719771514644,-0.0560086408755398,"G1","XRA"
"OKLKOG","XRA",3171322,2645,11.215480484164,0.0107210809876764,0.016360947063943,-0.011553678289505,"S","XRA"
"WZYZRH","XRA",3662642,2504,12.5921397723283,0.0692942416976598,0.028691416196867,-0.0872880697274609,"S","XRA"
"PWEMDC","XRA",2710407,2351,11.173930704872,0,-0.0108648580015735,-0.0568921165011735,"G1","XRA"
"HGSNHF","XRA",2071278,1510,14.4390081872158,0.000482793714798303,0.0144209013421619,-0.063238706520988,"S","XRA"
"MNJYLG","XRA",1696369,2030,6.95809697064731,0,-0.00647685669324895,0.0595808484663062,"G2M","XRA"
"WECGWV","XRA",3457441,2854,10.5061518041812,0,-0.0282664652217628,-0.10235178878133,"G1","XRA"
